id,nameKa,nameEn,descriptionKa,descriptionEn,categoryId,imageUrl,imageKey,isRose,isAvailable,featured,createdAt,updatedAt,priceMin,priceMax,priceOnRequest,unitType,variants,bloomsPerStemMin,bloomsPerStemMax,stemDisplayRule,published
690001,ჰოლანდიური ვარდი,holland rose ,ჰოლანდიური ვარდი 100 სმ ,,210001,/manus-storage/products/img_8463_f4b4557d.webp,,0,1,0,2026-06-29 12:32:37,2026-07-16 16:17:29,10.00,10.00,0,single stem,[],1,1,1 large rose bloom,1
690002,ვარდი,rose,80-90 სმ,,210001,/manus-storage/products/img_8463_87204441.webp,,0,1,0,2026-06-29 12:33:19,2026-07-16 16:17:38,8.00,8.00,0,single stem,[],1,1,1 large rose bloom,1
690003,ვარდი,rose,60-70 სმ,,210001,/manus-storage/products/img_8463_f015d035.webp,,0,1,0,2026-06-29 12:33:51,2026-07-16 16:17:46,7.00,7.00,0,single stem,[],1,1,1 large rose bloom,1
720001,დათუნია თაიგულით ,Teddy bear,,,180001,/manus-storage/products/img_8526_bec709c5.webp,,0,0,0,2026-06-30 09:00:02,2026-07-17 13:49:55,250.00,250.00,0,single stem,[],1,1,,1
750001,ყვავილების მიქსი,Flower mix,,,180001,/manus-storage/products/img_8583_99f8613d.webp,,0,1,0,2026-06-30 13:21:44,2026-07-16 16:18:06,120.00,120.00,0,single stem,[],1,1,,1
750002," ვარდი ვარდისფერი",pink rose,60-70 სმ ,,210001,/manus-storage/products/img_8465_543bfc37.webp,,0,0,0,2026-06-30 13:25:34,2026-07-17 13:49:58,7.00,7.00,0,single stem,[],1,1,1 large rose bloom,1
750003,ვარდი ვარდისფერი,pink rose,80-90 სმ,,210001,/manus-storage/products/img_8465_7068a91d.webp,,0,0,0,2026-06-30 13:26:24,2026-07-17 13:49:59,8.00,8.00,0,single stem,[],1,1,1 large rose bloom,1
750004,ვარდი ჯუმილია,rose jumilia,60-70 სმ,,210001,/manus-storage/products/53d0ed0d-051b-4459-bece-9962973e7b6f_25843c5b.webp,,0,1,0,2026-06-30 13:28:21,2026-07-16 16:18:43,7.00,7.00,0,single stem,[],1,1,1 large rose bloom,1
750005,ვარდი ჯუმილია,rose jumilia,80-90 სმ,,210001,/manus-storage/products/53d0ed0d-051b-4459-bece-9962973e7b6f_b17ca3b7.webp,,0,1,0,2026-06-30 13:29:06,2026-07-16 16:18:55,8.00,8.00,0,single stem,[],1,1,1 large rose bloom,1
780001,მთვარე,moon,,,180001,/manus-storage/products/img_8535_404bfb04.webp,,0,1,0,2026-07-01 09:08:11,2026-07-16 16:19:04,95.00,95.00,0,single stem,[],1,1,,1
810001,მიხაკი,Dianthus,,,210001,/manus-storage/products/49c9f45c-ccd0-4960-bc22-ace00aa0a7ae_49c574e7.webp,,0,1,0,2026-07-01 10:54:15,2026-07-16 16:19:13,5.00,5.00,0,single stem,[],1,1,,1
810002,ქრიზანთემა,Chrysanthemum,,,210001,/manus-storage/products/523059ab-1c83-4028-bb19-ea9e5bc4f61f_da82038e.webp,,0,1,0,2026-07-01 10:55:39,2026-07-16 16:19:24,10.00,10.00,0,single stem,[],1,1,,1
810003,ქრიზანთემა,Chrysanthemum,,,210001,/manus-storage/products/9a7b9fcc-292f-4bcd-8bbc-ef30d968e7c0_44f66f00.webp,,0,1,0,2026-07-01 10:56:32,2026-07-16 16:19:34,10.00,10.00,0,single stem,[],1,1,,1
